pattern_id,title,metric,confidence,evidence,business_implication
P01,Demand is strongly seasonal during inferred operating periods,operating-period occupancy,HIGH,"The strongest operating months are 2025-08, 2024-08, 2024-07 (93.4%, 93.3%, 92.9%); the weakest active months are 2025-05, 2026-05, 2025-09.",Use separate high-season yield and shoulder-season volume strategies; do not treat closed months as zero-demand inventory.
P02,Revenue scale and pricing power sit in different rooms,room commercial profile,HIGH,"Appartamento Area Giardino leads reliable room revenue at €1,005,415, while Camera Deluxe leads operating RevPAR at €165. The highest observed ADR is Suite Familiare Vista Piscina at €296 (29 bookings); the highest reliable ADR is Villino Double at €248.","Use total revenue to understand scale, and ADR/RevPAR to understand pricing power and inventory productivity."
P03,Early-booking demand is concentrated and more predictable in the strongest lead-time room,booking window + cancellation,HIGH,"Appartamento Area Giardino books 83 days ahead versus a reliable-room weighted average of 60 days, with cancellation 13.0% versus 20.3%.",Review pricing earlier for rooms that combine long lead time with lower cancellation risk.
P04,Cancellation changes the quality of apparent demand,cancellation risk,HIGH,"Appartamento Area Giardino has the lowest reliable cancellation rate at 13.0%, 7.2 percentage points below the reliable-room average.","Use retained demand, not gross bookings alone, when interpreting saturation and pickup."
P05,Commercial treatment economics are concentrated,treatment concentration,HIGH,"Mezza Pensione and Pensione Completa generate 92.3% of comparable treatment revenue. Mezza Pensione ADR is €209 versus €189, with cancellation 18.9% versus 22.9%.",Prioritize pricing and conversion tests on treatments that combine meaningful volume with strong economics.
P06,Room conversion varies materially across quoted solutions,same-room conversion,MEDIUM,"Among rooms with 30+ quoted requests, Appartamento Area Giardino converts 3.3% of quoted requests to the same room, versus Suite Familiare Vista Piscina at 0.9%.","Treat room-level conversion as a demand-quality signal: high conversion can support firmer pricing, while low conversion needs diagnosis before price increases."
P07,Some rooms combine conversion with premium economics,conversion + ADR,MEDIUM,Appartamento Area Giardino combines same-room conversion of 3.3% with ADR €158 and operating RevPAR €103.,Rooms that sustain both conversion and premium economics are the strongest candidates for protecting or cautiously increasing price.
P08,"Treatment demand differs in actual conversion, not only revenue",same-treatment conversion,MEDIUM,Bed & Breakfast has the highest reliable same-treatment conversion at 3.7% across 1149 quoted requests.,Use treatment conversion together with ADR and revenue per booking to distinguish popular offers from merely high-volume offers.
P09,Conversion changes with booking window,lead-time conversion,MEDIUM,"The highest-converting lead-time band is 0-7 days at 8.0%, versus 61-90 days at 2.2%.",Use lead-time conversion with occupancy and booking pace when deciding whether to push price or protect volume.
P10,The funnel loses most demand after quotation,request conversion,MEDIUM,"Of 29,195 requests, 83.8% receive a quote but only 3.1% are matched to confirmed bookings.","Conversion deserves the same monitoring priority as occupancy and booking window; however, the request-to-booking link remains a proxy."
P11,Cancellation risk peaks in a core arrival month,monthly cancellation,HIGH,The highest cancellation rate among months with 30+ bookings is 2025-08 at 28.1%.,Discount gross demand by month-specific cancellation risk before using it as a pricing trigger.
P12,"Historical booking pace is a baseline, not yet a live signal",booking pace,MEDIUM,Average completed-stay booking shares range from 3.6% to 72.9% across lead-time checkpoints.,Store recurring snapshots before interpreting deviations as acceleration or slowdown.
P13,Room-category occupancy contains capacity conflicts,data quality,HIGH,The historical reconstruction contains 423 room-type/date rows above current catalogue capacity.,Treat property-level occupancy as more reliable than room-category occupancy until historical capacity and reassignment logic are confirmed.
X01,Aggregate room booking windows hide large seasonal shifts,room × year × season × booking window,HIGH,Appartamento Area Giardino has a 139-day spread between its shortest and longest reliable monthly booking-window averages.,Use room-and-period-specific lead-time curves instead of one all-season room average when deciding how early pricing should react.
X02,Room RevPAR leadership changes by stay period,room × year × season × RevPAR,HIGH,The strongest reliable room-month RevPAR is Appartamento Area Piscina in 2024-08 at €294.,Monitor room productivity by stay period; an all-season RevPAR average can hide where pricing power is strongest.
X03,Room conversion depends on both stay period and booking window,conversion × room × year × season × booking window,MEDIUM,"The strongest sufficiently observed same-room conversion is Appartamento Area Giardino, 2025-09, 0-7: 24.2% across 33 quoted requests.","Read conversion in its room, stay-period and lead-time context before treating it as upward or downward pricing pressure."
X04,Treatment booking behaviour changes through the season,treatment × year × season × booking window,MEDIUM,Mezza Pensione has a 59-day spread between its shortest and longest reliable monthly booking-window averages.,Evaluate treatment pricing and demand by stay period rather than relying on one all-season treatment average.
X05,Treatment acceptance changes by season and booking window,conversion × treatment × year × season × booking window,MEDIUM,"The strongest sufficiently observed same-treatment conversion is Mezza Pensione, 2025-09, 0-7: 29.2% across 65 quoted requests.",Validate treatment price and packaging in the specific stay-period and booking-window context where customers actually accept it.
